average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
$45 ,1,Sweeny,16-Nov,"Clean, comfortable, recently updated rooms, located 1 mile from the Phillips 66 / CPChem contractor's entrance, in Old Ocean, TX.\n\nThere is a fire pit and BBQ for those times you are wanting to relax.\n\nThe house is located across the street from The Corner Store (convenient store and gas station), as well as a short distance to Southbound 35 (local bar), with several restaurants delivering to the house.",29.08708319,-95.72306648,The Artisan Inn BR#2,https://www.airbnb.com/rooms/17125059?location=Bay%20City%2C%20TX
$39 ,1,Euless,15-Jun,"Bookings available from Aug 19th. You are booking a modern private room in a two story house. Located near major highways, restaurants, grocery stores, Texas star golf course, parks, AT&amp;T stadium, and just 10 min to DFW airport. My space is in between Dallas and Fort Worth. Hence, great for interns, travel workers, students (15 min to UT Arlington), business travelers, and even for adventurers. Short-term and Long-term discounts.",32.8353312,-97.1085319,(B) Private Room Gated Community Near DFW Airport,https://www.airbnb.com/rooms/17806073?location=Colleyville%2C%20TX
$110 ,2,Plano,16-Oct,"Quiet complex, apartment looks over the pool area, has attached garage and private staircase.",33.11878882,-96.73917725,Plano delight,https://www.airbnb.com/rooms/19414781?location=Celina%2C%20TX
$98 ,0,College Station,16-Jun,A uniquely styled tree top cabin with all the comforts of home. \n\,30.62100356,-96.44929926,Crow's Nest Cabin on Piper Lane,https://www.airbnb.com/rooms/15253326?location=College%20Station%2C%20TX
$175 ,3,Humble,16-Feb,3 Bedroom 2.5 Bathroom Custom Builder Home. Prime Location on Hole 15th Fairway of Luxurious Tour 18 Golf Course. Golf Course is Public. Advanced Tee Times &amp; Discounts Available Online. \n\n15 minutes from George Bush IAH International Airport. \n21 miles from Downtown Houston. \nEasy Access to 59 Eastex Freeway. Many restaurants nearby. \nKroger Grocery Store within 2 miles. \nQty 2 BBQ Grills.\nFenced in back yard for pets or for kids to play.\n$75 Pet Fee - Collected separately through Airbnb.,29.98656912,-95.22818386,Single Story Golf Course Home. 15 minutes from IAH,https://www.airbnb.com/rooms/16496167?location=Cleveland%2C%20TX
$80 ,2,Conroe,17-Jun,New 2017 top of the line toy hauler out in the country. 10 minutes away from I45 and 10 minutes away from Highway 59.,30.20567661,-95.35012473,The Camper Oasis,https://www.airbnb.com/rooms/19281125?location=Conroe%2C%20TX
$39 ,1,Frisco,16-Dec,"Home on the lake. You’ll love the views and access to lake. Perfect place for couples, solo adventurers, business travelers, and furry friends (pets). If you enjoy water activities, we have canoes, kayaks &amp; flat boards, for adventures on beautiful lake Dallas/Lewisville. Contact host for details.",33.11616758,-96.92762318,Lake Home minutes from Frisco,https://www.airbnb.com/rooms/16674044?location=Celina%2C%20TX
$75 ,1,Sealy,16-Apr,This is a full bed. The room is light and bright. There is antique furniture with a dresser and a vanity. There are hooks for hanging clothes but no closet.,29.70852238,-96.22426265,Double bed.,https://www.airbnb.com/rooms/12337741?location=Columbus%2C%20TX
$125 ,3,San Antonio,14-Aug,"Enjoy three large bedrooms and a loft. Entire house is for rent (3160 sq ft). Sleeps 8 comfortable. One king size bed, one queen bed, one double bed, and day bed (two twin beds). Full laundry. Near Air Force Base, Sea World (3 mi) and Six Flags and Riverwalk. Enjoy a beautiful living room, kitchen, pool table, and patio. Plenty of room for a big family or group. Fresh towels and linens. Nearby shopping, restaurants, and grocery store. Fully furnished kitchen. Safe and quiet neighborhood.",29.44439593,-98.71742703,Spacious home near Sea World and Lackland AFB,https://www.airbnb.com/rooms/16417007?location=Castroville%2C%20TX
$350 ,3,Fort Worth,15-Feb," 1920's bungalow recently renovated with a modern aesthetic. 2 miles to downtown, walking distance to West 7th, Will Rogers and Cultural District. Safe and family friendly neighborhood. \n ",32.74822997,-97.37647856,Westside Modern,https://www.airbnb.com/rooms/5500070?location=Azle%2C%20TX
$26 ,1,San Antonio,16-Jan,This room has a pillow top mattress that's very soft. The curtains block out light to get a more peaceful morning.,29.58112385,-98.57656207,Comfortable room with a shared bathroom,https://www.airbnb.com/rooms/19067502?location=Bulverde%2C%20TX
$150 ,1,College Station,16-Jul,"My place is close to Veterans Park and Post Oak Mall. You’ll love my place because of The location and the peaceful atmosphere. My place is good for couples, solo adventurers, business travelers, and families (with kids).",30.64207031,-96.28920321,Cabin in the Woods,https://www.airbnb.com/rooms/14041435?location=College%20Station%2C%20TX
$92 ,3,Houston,13-May,"Cozy Super Bowl Home Base. 3.8 miles secret straight shot to the Texas Stadium or Medical Center. 3 bedroom, 2 bath set in a peaceful but urban neighborhood (Westbury), right on the border of the 610 Loop. Kitchen is fully stocked even with a Ninja and Keurig. Enjoy the space to spread out and relax. \n\nSuper close to Bellaire, Montrose, Upper Kirby, Downtown, Sugarland and the Galleria. No freeways needed to any of these locations listed.\n\nWe do recommend a car for this location.",29.6465198,-95.48921278,Super Home Base,https://www.airbnb.com/rooms/16582408?location=Alvin%2C%20TX
$141 ,3,Cibolo,15-Sep,25 miles from downtown San Antonio \n35 miles to six flags \n45 miles to seaworld \n15 miles to gruene (super cool) \n25 miles to San Marcos outlets \n60 miles to Austin \n40 miles to canyon lake\n24 miles to San Antonio international airport \n23 min to Schlitterbaun in new braunfels,29.58497397,-98.21778634,"Wonderful home (3 bdr, 2 bth) cozy!",https://www.airbnb.com/rooms/17664915?location=Converse%2C%20TX
$200 ,4,Shenandoah,16-Mar,"This family home is located in Shenandoah,towards the outskirts of The Woodlands.The Woodlands is unique in its beauty, diversity, convenience and comfort.You can experience all of its beauty on your own in the comfort of your own personal vacation retreat.The house may look small from the outside, but many guests feel at home due to the modern décor. This modern home is perfect for weekend getaways or longer work related stays and for families.",30.17832473,-95.45222338,MODERN HOME with SWIMMING POOL - The Woodlands,https://www.airbnb.com/rooms/19264952?location=Cleveland%2C%20TX
$103 ,2,Brenham,17-May,"Beautiful country retreat located on historical Independence Trail! Charming shops, superb restaurants, antiques fair in Round Top, and home to Blue Bell Ice Cream! 2 bedroom (both with antique double/full beds), fully self contained cottage, complete kitchen and bath. Decorated in antiques and front porch with rockers to enjoy the fresh air and gorgeous sunsets. Washington on the Brazos State Park close by and just 30 minutes to A&amp;M University campus! Perfect as a little getaway!",30.2006913,-96.36471719,"Park Manor Guest House, lovely!",https://www.airbnb.com/rooms/18657931?location=Chappell%20Hill%2C%20TX
$41 ,1,San Antonio,16-May,"This spacious king size suite will satisfy all your needs for a comfortable and convenient stay in San Antonio.\n\n3 min from I-35, 7 min (3.4 miles) to Fort Sam Houston, 10 min to Downtown San Antonio, 15 min to the airport and 1 hr to Austin, TX. \n\n Military discount\nWe honor those who serve and have served, 5% off for all active and reserve military and their families. Long-term guests are welcome.",29.48217334,-98.40900329,Fort Sam Houston Temporary Housing,https://www.airbnb.com/rooms/13226328?location=Cibolo%2C%20TX
$105 ,4,Schertz,15-Sep,"Beautiful and unique, stay in this clean and remodeled home, in the quiet and safe Schertz community , perfect location you will be close to the nicest places San Antonio offers but without the chaos, \n25 minutes from San Antonio Airport\n26 minutes to New Braunfels\n30 minutes to San Antonio River walk\n23 minutes natural Bridge Caverns\nGreat for any family or a group",29.55967872,-98.25797103,Gorgeous quiet retreat,https://www.airbnb.com/rooms/18911324?location=Cibolo%2C%20TX
$60 ,1,Carrollton,14-Aug,"My place is close to the Love Field airport, have a great view to a golf course where you can walk and enjoy beautiful sunsets. You’ll love my place because we are close to the restaurant and culture area of Addison and 20 minutes away from the DallasMy place is good for couples, solo adventurers, and business travelers.",32.96345053,-96.85590903,"Spacious, quiet room with a view",https://www.airbnb.com/rooms/5404552?location=Coppell%2C%20TX
$190 ,2,New Ulm,11-Feb,"Bluebonnet Cabin a place in nature for healing transformation, this cabin is perfect for re-focusing on the essentials: earth, air, water, 59 acres of trails through the woods, greeted by donkey boys, miniature horses, longhorns, oreo boy, and funny bantam chickens. Explore Curly Q Ranch Refuge!",29.89822345,-96.50467836,Bluebonnet Cabin,https://www.airbnb.com/rooms/71992?location=Chappell%20Hill%2C%20TX
$200 ,3,Hempstead,15-Aug,"This welcoming 3 bedroom, 2 full bath country getaway is the best place to relax and unwind. At night, gather around the fire pit, while the grill master grills your favorites on the gas grill. For dessert, enjoy roasting s’mores while sitting under the clearest sky in Texas. \nThe home offers many outdoor activities including horseback riding, skeet shooting or mudding on the 4X4. Located 3 miles from the Waller County Fair Grounds,famous for local rodeos, concerts and other events!",30.04281773,-96.04410223,Country Getaway - Relax and Unwind!!,https://www.airbnb.com/rooms/13192523?location=Chappell%20Hill%2C%20TX
$250 ,2,Fayetteville,13-Apr,"After a complete restoration, Wisteria Bend Cottage is ready for visitors! Guests will enjoy two bedrooms and a sunroom with queen sleeper, vintage kitchen and bath, living room, and pool table. WBC is just a few miles from Lake Fayette, and a short 20 minutes from the heart of the antiques festival in Warrenton and Round Top. Modern conveniences include 3 tvs and wifi, fully stocked kitchen, and piano bar.",29.9042624,-96.68324071,Wisteria Bend Cottage,https://www.airbnb.com/rooms/17325043?location=Columbus%2C%20TX
$60 ,1,Fort Worth,15-Sep,"My place is close to downtown fort worth, west 7th street, cultural district and museums, the stockyards, restaurants, and nightlife. There's a comfy Tempurpedic bed, high ceilings in the living areas, and updated kitchen. The room is great for couples, solo adventurers, and business travelers.",32.75373575,-97.34248488,Private Room/Bathroom Near Downtown and West 7th,https://www.airbnb.com/rooms/14198134?location=Azle%2C%20TX
$115 ,1,Montgomery,16-Sep,"One bedroom condo with stunning views of Lake Conroe and Walden Marina. Yacht Club, Marina, Racquet Club, and Fitness Center within walking distance. Come relax and unwind.",30.40323913,-95.61173104,Beautiful Lakefront Condo,https://www.airbnb.com/rooms/16242203?location=Conroe%2C%20TX
$289 ,1,Granbury,16-Jul,"A 2000 model Ford cargo van situated on a large acreage, partly wooded, in beautiful North Central Texas with three ponds and twelve cows, along with approximately six coyotes--though electricity, cable television and running water are not offered.\n\nLiving in a van down by the river is a classic American way to exist and this offering allows you the opportunity to see the world from the viewpoint of the noble vagabond living in hidden spaces, that unseen portion of the real America.",32.38876928,-97.7272618,"A van, down by a river",https://www.airbnb.com/rooms/14091345?location=Cleburne%2C%20TX
$768 ,2,Richmond,16-Sep,"My place is close to great views, the airport, parks, the city center, art and culture, Easy access to Stadium for SUPER BOWL 2017. You’ll love my place because of the kitchen, the high ceilings, the location, the views, and the coziness. My place is good for couples, solo adventurers, business travelers, families (with kids), and furry friends (pets). I QUEEN BED, 2 FULL, AND 1 QUEEN GOOD AIR MATTRESS IN HOME. PLENTY SPACE FOR MORE AIRE MATTRESSES CLOSE TO ALL HIGHWAYS, GREAT SHOPPING MALLS,",29.6610122,-95.68753793,SUPER BOWL WEEKEND 2017,https://www.airbnb.com/rooms/14991163?location=Beasley%2C%20TX
$50 ,0,Cleburne,16-Dec,My place is wonderful and worth the stay,32.47382302,-97.28549216,Jodie's Place,https://www.airbnb.com/rooms/18756688?location=Cleburne%2C%20TX
$250 ,1,New Braunfels,17-Jan,"My place is close to art and culture, restaurants and dining, and family-friendly activities. My place is good for couples.",29.69792115,-98.11524852,"Pearl Inn, the Cottage",https://www.airbnb.com/rooms/17522874?location=Cibolo%2C%20TX
$255 ,1,New Braunfels,17-Jan,"Located on the Comal River in the heart of downtown New Braunfels, TX, meet Juliette. A tiny home filled with charm and perfectly appropriated utilization of space.",29.7068023,-98.12265949,Tiny Home-Juliette sleeps 4 on the Tube Chute,https://www.airbnb.com/rooms/18852256?location=Cibolo%2C%20TX
$115 ,1,Kemah,15-Nov,"One bedroom in a Bed and Breakfast overlooking Galveston Bay in Kemah, TX. The room includes a king size bed, flat screen TV and private bathroom. Walking distance to Kemah Boardwalk, shopping and restaurants. Access to Pier. No breakfast is provided.",29.54380153,-95.0170362,Captains Quarters Room 3,https://www.airbnb.com/rooms/18946570?location=Clear%20Lake%20Shores%2C%20TX
$39 ,1,Irving,16-Apr,"Guest's Nest is a private bedroom in a two-story home. My guests stay upstairs. The location is very convenient - we are near every major highway in DFW. The home is near restaurants, grocery stores, running trails and minutes to DFW airport.",32.91786622,-96.95068721,"GuestNest! w/QueenBed, ALL Essentials Amazon Alexa",https://www.airbnb.com/rooms/16769188?location=Colleyville%2C%20TX
$500 ,4,McKinney,16-May,"Texas Starlight Ranch sits on 18 acres of land and is also a nature preserve. My place is close to restaurants and dining and family-friendly activities. You’ll love my place because of the ambiance and the outdoors space. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups. Texas Starlight Ranch is also great for Holiday Parties for Thanksgiving, Christmas and New Years.",33.21917528,-96.55265029,Texas Starlight Ranch,https://www.airbnb.com/rooms/13113265?location=Anna%2C%20TX
$454 ,3,Austin,13-Feb,"Walk to everything. Enjoy the best that downtown Austin has to offer from nightlife, bars, and restaurants to shopping, yoga, and the great outdoors. This swanky condo is perfectly located in the heart of ATX, and provides access to a community pool.",30.26594744,-97.74144275,The Railyard Oasis Located Downtown,https://www.airbnb.com/rooms/917932?location=Colorado%20River%2C%20TX
$772 ,5,Concan,16-Feb,"This spacious open concept home is 'Country Chic' with pine floors throughout, ship-lap walls, large windows, vaulted ceilings with exposed wood beams and wrap around porch with amazing views! 4 Bedroom 4 Bathrooms and a Loft sleeping area with a Spiral Staircase. Top of the line appliances, granite counter tops, large bedrooms, modern bathrooms and lots of sliding barn doors and so much more. There is nothing like it in Concan!",29.54128208,-99.69037872,The Farm House,https://www.airbnb.com/rooms/18824860?location=Concan%2C%20TX
$150 ,1,Richmond,16-Sep,12x12 bedroom w full bed and a full bath. \nWe have 2 friendly dogs and no kids!!,29.64864295,-95.7353304,Super Bowl weekend only!,https://www.airbnb.com/rooms/17039273?location=Cinco%20Ranch%2C%20TX
$201 ,4,Austin,17-Mar,"My place is close to parks and restaurants and dining. You can walk to the grocery store, Starbucks, and a couple restaurants and bars. You’ll love my place because of the privacy and easy drive to downtown and the chill backyard with hammock, BBQ, and trampoline. My place is good for business travelers, families (with kids), and big groups. **Note: my friendly cat Hondo will be home. You can basically ignore him, but if you are allergic this may not be the best home for you**",30.20515821,-97.8782895,4 BR Home 20 Minutes to Downtown or Hill Country,https://www.airbnb.com/rooms/17499008?location=Bee%20Cave%2C%20TX
$100 ,2,College Station,11-Apr,\,30.51712322,-96.30567554,"Casa de Colores, view the world!",https://www.airbnb.com/rooms/89486?location=College%20Station%2C%20TX
$30 ,1,San Antonio,16-Jan,"A tradition style bedroom with regular size bed, bright and warm and very quiet and own bath room.",29.56955298,-98.36259271,Very tradition bedroom,https://www.airbnb.com/rooms/10923699?location=Cibolo%2C%20TX
$703 ,4,Corpus Christi,15-Dec,Padre Beach View 209 is an All-New 4 bedroom/3 bath townhouse that is just steps off the beach!,27.6048345,-97.21074843,Padre Beach View 209,https://www.airbnb.com/rooms/13805990?location=Baffin%20Bay%2C%20TX
$200 ,3,Houston,14-Apr,"2 + bedroom, 2 bath, heated pool, hot tub, steam room, plus much more. The decor is a feast of Moroccan antique and unique pieces collected from around the globe.",29.74485117,-95.38589969,Exotic Retreat with heated private pool & jacuzzi,https://www.airbnb.com/rooms/13463934?location=Baytown%2C%20TX
$80 ,1,Dallas,14-Mar,"Spacious first floor bedroom in Historic East Dallas/Lakewood area. Close to Baylor University Medical Center, SMU and Deep Elm. One block from the Santa Fe Trail and close to White Rock Lake.",32.79764909,-96.75905703,Googie's sunlit sanctuary,https://www.airbnb.com/rooms/10306419?location=Balch%20Springs%2C%20TX
$600 ,1,Richmond,17-Jan,You’ll love my place because of the comfy bed and the high ceilings. My place is good for couples and solo adventurers.,29.659386,-95.69020939,Spacious solo room with ensuite bath,https://www.airbnb.com/rooms/17104063?location=Beasley%2C%20TX
$74 ,1,Austin,15-Nov,"Live like a local in eclectic South Austin. Private bedroom, full-bath &amp; sitting room in classic 1950's Austin ranch-style home with native garden habitat. Close to coffee shop, yoga, organic co-op, live music venue. Easy bus or ride share downtown.",30.22363485,-97.78329845,Be Local South ATX Garden Suite,https://www.airbnb.com/rooms/9463945?location=Austin%2C%20TX
$42 ,1,Austin,11-Aug,Spacious double room in a charming renovated East Austin bungalow. Fully renovated in 2016.\n\nThe double room very comfortably fits 2 and has its own private bathroom (not ensuite). The neighborhood is 2 miles from downtown and just a short Fasten ride away. 10 mins from Austin airport. Cafes/restaurants/bars in walking distance.,30.2759184,-97.71321066,Comfy dble room and private bath - East Austin,https://www.airbnb.com/rooms/2600667?location=Austin%2C%20TX
$108 ,3,Dallas,16-Mar,"Mid-century modern house convenient to down town Dallas, the Dallas Arboretum, White Rock Lake and Harry Stone Park. The house is 15 minutes from down town in an eclectic neighborhood surrounded by big trees and mid-century houses. White Rock Lake is a mile with over 10 miles of hike/bike trials. The house is quickly accessible from I-30 and can have you in down town Dallas, Deep Ellum, the Arts/Museum District and the American Airlines Center (Dallas Stars and Dallas Maverics) in no time.",32.82679167,-96.67012107,Remodeled Mid-Century Near Downtown Business Ready,https://www.airbnb.com/rooms/16821282?location=Balch%20Springs%2C%20TX
$169 ,2,Austin,11-Mar,"Beautifully renovated two bedroom cottage that is registered with the City of Austin and not subject to any hostile moves by code compliance (kicking out guests, fining owners, etc) All legal. Wonderful Deck with Hot Tub and Remodeled Cottage. Two miles from Downtown and close to MLK rail. \n\nThe pics and testimonials tell the story, come stay!",30.28283226,-97.70820152,EASTSIDE COTTAGE W HOT TUB AND DECK,https://www.airbnb.com/rooms/2124026?location=Brazos%20River%2C%20TX
$90 ,1,Bridge City,15-Oct,"Cottage is located on the banks of Cow Bayou. On site boat dock can accommodate a canoe, kayak or a 20+ foot fishing boat. Water is brackish and supports a variety of both fresh and salt water fish. Sleep area accommodates two Adults with a double bed and bathroom with shower. Full kitchen, including microwave, stove, and dishwasher. Secured WIFI and high speed internet are available with supplied password.",30.03761263,-93.8103071,Fisherman's Hangout -Camp Maracaibo,https://www.airbnb.com/rooms/8965499?location=Beaumont%2C%20TX
$74 ,1,Dallas,13-Mar,"The Carriage House apartment is located in the charming M-Streets area, right in the heart of Big D. Experience all the best of Dallas, within walking distance or a short ride away! Relax and enjoy your visit in a comfortable and light filled space with everything you need for a perfect get-away with friends or a romantic weekend.",32.82957241,-96.77609658,The Carriage House on the M Streets,https://www.airbnb.com/rooms/17878261?location=Carrollton%2C%20TX
$115 ,2,Lago Vista,15-Nov,"Relax in a clean, spacious, contemporary, 2 Bedroom, and 2 Bathroom Condo on \",30.44054759,-98.02017659,Classy and Cool Lakefront Condo!!!,https://www.airbnb.com/rooms/9360039?location=Briarcliff%2C%20TX
$325 ,3,Rockport,17-Apr,Enjoy bayviews and cool breezes on the large covered deck!,28.16218221,-97.01599643,Our Blue Heaven,https://www.airbnb.com/rooms/18699982?location=Bayside%2C%20TX
$99 ,2,Tow,16-Apr,"Located in a classic, salt-of-the-earth community with friendly, down-home folks. Come enjoy great fishing (3 private ramps), our local winery, small town antiquing, hot tubbing, or just come to relax.",30.85041949,-98.44988581,The Wade Inn at Lake Buchanan,https://www.airbnb.com/rooms/12365907?location=Burnet%2C%20TX
$275 ,3,Rockport,16-Jul,"Our Townhouse sleeps 6 and has great water views. We have a 750 foot fishing pier and world-class birding, parking for your boat, tennis courts, swimming pool, and nearby art galleries. You can relax, dangle a hook, boat, board, kayak, swim, play tennis, visit the art galleries and museums, shop, enjoy the birding and nature trails, join the neighbors riding their bikes and golf carts on Fulton Beach Road, or just sit on the deck and watch the panorama pass quietly by.",28.100134,-97.03050334,Bird Song on the Bay 3BR 2Ba Fulton Beach Road,https://www.airbnb.com/rooms/14126359?location=Bayside%2C%20TX
$462 ,3,Bridgeport,15-Nov,"Come escape to this secluded 3-bedroom, 1-bath Chico vacation rental log cabin, nestled on the shores of Lake Bridgeport. Offering a private dock and boathouse with 2 boat slips, this waterfront cabin ensures 7 lucky travelers a grand retreat!",33.16989692,-97.85160453,Inviting 3BR Waterfront Chico Cabin,https://www.airbnb.com/rooms/11907043?location=Bridgeport%2C%20TX
$135 ,3,Kingsville,15-Mar,"Our 3 bedroom 1 bath home is large and accommodating on a corner street 1 block from TX A&amp;M Univ - Kingsville (Go Hogs!) Enjoy easy access to historic downtown area, local hunting/fishing, beaches and shopping in Mexican border towns (2 hrs). ",27.52007545,-97.87982068,Revamped Vintage King Ranch House,https://www.airbnb.com/rooms/5538470?location=Baffin%20Bay%2C%20TX
$425 ,3,Kyle,15-Aug,"Welcome to our cozy retreat just minutes away from Austin, San Marcos, and the Hill Country. Rather its shopping, Circuit of the Americas, SXSW we are centrally located. Situated on a golf course with a beautiful backyard oasis to enjoy your return. We do live on property so we can't take any bookings without at least 3 days notice so we can prepare for arrival.",30.01653024,-97.87897809,Kyle Retreat-Swimming pool/Spa,https://www.airbnb.com/rooms/7651664?location=Buda%2C%20TX
$77 ,0,Houston,14-Oct,"Located in the heart of Houston's Montrose neighborhood, the Harold Street 0 is perfect for singles or couples planning a short stay to this vibrant area of Houston. Close to shops, restaurants, museums and galleries, all within walking distance. Downtown Houston is within 3.5 miles, as is the Texas Medical Center.",29.74051972,-95.40024893,Harold St. 0,https://www.airbnb.com/rooms/16795410?location=Bellaire%2C%20TX
$100 ,2,San Antonio,17-Jun,"Located just north of the beautiful Dominion. This area is within a few miles of Six Flags Fiesta Texas, The Rim, La Cantera and so much more. Within walking distance of The Grill at Leon Springs and so many more great attractions. This place is beautifully decorated and very comfortable. Whether you're relaxing poolside or enjoying the comfortable apartment, you'll love the serene settings",29.66329734,-98.62682747,"Elegant apartment by Six Flags, La Cantera",https://www.airbnb.com/rooms/19332070?location=Boerne%2C%20TX
$119 ,1,Dallas,13-Dec,"Welcome to Dallas!!! The apartment is located in one of the safest parts of town called West Village with a 24hr doorman. Right out the building front doors there are coffee shops, 20+ different restaurants, wine bars, tanning/hair/nail salons, and several small bars within 5 min walk. The Mckinney Ave ,Cedar Springs, Deep Ellum, downtown, and LowerGreenville night life is only a $5 Uber away or 15min walk. Have one or two cars? No worries, we have parking for free",32.80743307,-96.79499383,Awesome high-rise Apt in heart of Uptown,https://www.airbnb.com/rooms/9114542?location=Balch%20Springs%2C%20TX
$26 ,1,Killeen,17-Feb,"This home is conveniently located just two miles from the airport and three miles from Fort Hood in a quiet, safe neighborhood. You will have a private bedroom with a queen bed and a private bathroom. The backyard is completely fenced in with privacy fencing and pets are welcome.",31.08205155,-97.80998783,Convenient in Killeen,https://www.airbnb.com/rooms/17421751?location=Belton%2C%20TX
$20 ,1,Converse,17-Mar,"I am retired military looking to meet new folks and share part of my home. My space is great for couples, solo adventurers, and business travelers. The location is only 15 minutes from beautiful Downtown San Antonio/River Walk. Enjoy your time in a private bed room and bath. Please be aware that I have one small dog, but she will not disturb you during your stay :) I look forward to meeting you!",29.46611326,-98.32325103,J&S Casa,https://www.airbnb.com/rooms/17941881?location=Converse%2C%20TX
$243 ,2,Lakeway,16-Mar,"You’ll love my place because it is a unique condo overlooking Schooner Cove and next door to the Lakeway Marina &amp; the Lakeway Resort and Spa. Condos overlook Schooner Cove on the south shore of Lake Travis. The condos are in close proximity to: Boating, swimming, golfing, parks and much more! My place is good for couples, solo adventurers, and families (with kids).",30.3712411,-97.98738926,Schooner Cove Villa #13 - South Shore,https://www.airbnb.com/rooms/14073051?location=Briarcliff%2C%20TX
$189 ,3,Corpus Christi,16-Sep,My \,27.77152417,-97.39531271,Coastal Getaway House,https://www.airbnb.com/rooms/15744111?location=Aransas%20Pass%2C%20TX
$141 ,2,Dallas,15-Dec,"Fully renovated 2BR/1BA downstairs unit of a duplex located in the M Streets area of Dallas close to popular Greenville Avenue which contains restaurants, retail and music scene. Approximately 5 minutes from White Rock Lake and 12 minutes from downtown Dallas.",32.82768128,-96.76334642,Cozy M Street Apt 2BR/1BA; Perfect for Biz Travel,https://www.airbnb.com/rooms/9972620?location=Balch%20Springs%2C%20TX
$63 ,1,Fort Worth,17-Apr,"My cozy duplex is the perfect place to stay as your home away from home. For nearby food, drinks on the patio, music and movies hit up downtown Ft. Worth, 7th st. or Magnolia area. All of which are just a few miles away from the house. Enjoy!",32.77950286,-97.31058639,Cozy Stone Duplex,https://www.airbnb.com/rooms/14741117?location=Burleson%2C%20TX
$129 ,2,Brenham,11-Aug,"Lower prices for summer travel! Looking for a cute getaway? Two bedroom, one bath, wraparound porch &amp; nice back yard. Hardwood floors, large living &amp; dining room. Short walk to downtown!",30.1662184,-96.40225125,Cute Bungalow near Downtown Brenham,https://www.airbnb.com/rooms/8124930?location=Brenham%2C%20TX
$295 ,3,Galveston,15-Jul,Location Location Location - Large 3 bdrm house can walk 2 blocks to the beach - or 1/4 mile to pleasure pier - or several area restaurants to walk to. Rehabilitated beautiful 100 year old home. Lots of parking space - large backyard deck with BBQ grill for the family hangout. Central A/C units separated up and down for your comfort.\n\nDon't be fooled by the cottage or bungalow - that means small.... This is a 2000 square foot large home all to yourselves with plenty of parking.,29.29448803,-94.78369067,MarBella House Near the Galveston Beach,https://www.airbnb.com/rooms/7459305?location=Bayou%20Vista%2C%20TX
$30 ,1,Terlingua,17-Mar,"Your campsite is on a private 40 acres, located one mile on a dirt road from Study Butte on highway 118, five miles from the main entrance of the Big Bend National Park and one mile from the back entrance of the Big Bend National Park at Indian Head. Enjoy the pristine landscape, bird watching, basking in the sun, listening to the coyotes sing, and stargazing.",29.33986422,-103.5259311,Yucca campsite,https://www.airbnb.com/rooms/17677458?location=Big%20Bend%20National%20Park%2C%20TX
$209 ,2,Corpus Christi,17-Jun,"Style and function! This updated 2 bedroom, 2 bath fully furnished condo has a queen bed in the master bedroom and a full in the guest bedroom to accommodate 4 guests. Some of the amenities include washer and dryer inside the unit, cable, all new furniture, updated appliances, and flat screen TV's in every room.",27.60545708,-97.21130202,"LAKESHORE VILLAS 10 2 BDRM, 2 BTH, WATERFRONT",https://www.airbnb.com/rooms/19543664?location=Aransas%20Pass%2C%20TX
$86 ,1,Houston,16-Oct,"The guest house is located on the second floor with a HUGE shared outdoor back patio ideal for relaxing readings or breakfast. The guest house has 1 queen bed, a large kitchen and a comfortable sofa bed for 2 persons. The apartment is completely furnished and has free Wifi connection.",29.75484482,-95.38913101,Charming newly renovated guest house in Montrose,https://www.airbnb.com/rooms/18208344?location=Bellaire%2C%20TX
$123 ,1,Euless,14-Sep,"Gated Estate in the heart of DFW metroplex. We are 8-10 mins away from DFW Airport, 30 mins from Love Field airport. Located within minutes from Dallas &amp; Fort Worth, American Airlines Center, AT&amp;T Six Flags, Grapevine Gaylord, Great Wolf Lodge, Grapevine Mills Mall, Historic Downtown Grapevine, Texas Motor Speedway\n Bedroom and Den with a mini-kitchen and spa-style bathroom. Our other listing the QUIET COZY ROOM",32.86431109,-97.08096908,FabEuless Hideaway,https://www.airbnb.com/rooms/4211248?location=Bedford%2C%20TX
$55 ,1,Houston,15-Jul,"10 mins away from Medical Centre\n10 mins away from Greenway Plaza\n15 mins away from NRG Stadium\n10 mins away from Downtown (Museum District)\n10 mins to Rice University/Rice Village\nIn West University Place neighborhood \n10 mins from Galleria\nSame area as River Oaks, Montrose, Southside and Bellaire",29.72758048,-95.44585328,Mini Suite with private entrance - Med Centre&NRG,https://www.airbnb.com/rooms/13658400?location=Bellaire%2C%20TX
$129 ,1,Bastrop,11-Jun,"An elegant and unusual turn-of-the-century bedroom suite anchors the Master Suite. Lounge on the king-size featherbed or relax on the loveseat (sofa bed, for children or an extra guest) in front of the fireplace. The oversized bath (with shower) was originally the family nursery. Includes a full gourmet breakfast served at guests' discretion.",30.11212414,-97.31763093,The Master Suite at the Pecan Street Inn,https://www.airbnb.com/rooms/14042831?location=Bastrop%20County%2C%20TX
